DEPLOYMENT_PERIOD,SENSOR,TIMESTAMP,VARIABLE,DEPTH,VALUE
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-09T22:50:00Z,Dissolved Oxygen,5,113.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-10T00:32:00Z,Dissolved Oxygen,5,113.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-10T02:14:00Z,Dissolved Oxygen,5,113.5
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-10T03:56:00Z,Dissolved Oxygen,5,112.5
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-10T05:38:00Z,Dissolved Oxygen,5,111.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-10T07:21:00Z,Dissolved Oxygen,5,112.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-10T09:03:00Z,Dissolved Oxygen,5,112.8
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-10T10:45:00Z,Dissolved Oxygen,5,112.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-10T12:27:00Z,Dissolved Oxygen,5,113.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-10T14:09:00Z,Dissolved Oxygen,5,113.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-10T15:51:00Z,Dissolved Oxygen,5,113.3
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-10T17:33:00Z,Dissolved Oxygen,5,115.1
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-10T19:15:00Z,Dissolved Oxygen,5,115.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-10T20:58:00Z,Dissolved Oxygen,5,114.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-10T22:40:00Z,Dissolved Oxygen,5,114.7
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-11T00:22:00Z,Dissolved Oxygen,5,115.1
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-11T02:04:00Z,Dissolved Oxygen,5,116.8
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-11T03:46:00Z,Dissolved Oxygen,5,115.5
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-11T05:28:00Z,Dissolved Oxygen,5,114.7
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-11T07:10:00Z,Dissolved Oxygen,5,114.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-11T08:52:00Z,Dissolved Oxygen,5,113.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-11T10:35:00Z,Dissolved Oxygen,5,113.8
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-11T12:17:00Z,Dissolved Oxygen,5,115.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-11T13:59:00Z,Dissolved Oxygen,5,116.8
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-11T15:41:00Z,Dissolved Oxygen,5,115.7
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-11T17:23:00Z,Dissolved Oxygen,5,115.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-11T19:05:00Z,Dissolved Oxygen,5,114.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-11T20:48:00Z,Dissolved Oxygen,5,114.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-11T22:30:00Z,Dissolved Oxygen,5,116.3
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-12T00:12:00Z,Dissolved Oxygen,5,117.3
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-12T01:54:00Z,Dissolved Oxygen,5,117.7
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-12T03:36:00Z,Dissolved Oxygen,5,116.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-12T05:18:00Z,Dissolved Oxygen,5,116.7
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-12T07:01:00Z,Dissolved Oxygen,5,116.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-12T08:43:00Z,Dissolved Oxygen,5,117.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-12T10:25:00Z,Dissolved Oxygen,5,116.1
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-12T12:07:00Z,Dissolved Oxygen,5,114
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-12T13:49:00Z,Dissolved Oxygen,5,115.1
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-12T15:31:00Z,Dissolved Oxygen,5,115.8
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-12T17:13:00Z,Dissolved Oxygen,5,115.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-12T18:55:00Z,Dissolved Oxygen,5,110.5
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-12T20:38:00Z,Dissolved Oxygen,5,113
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-12T22:20:00Z,Dissolved Oxygen,5,114.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-13T00:02:00Z,Dissolved Oxygen,5,114
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-13T01:44:00Z,Dissolved Oxygen,5,114.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-13T03:27:00Z,Dissolved Oxygen,5,114.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-13T05:09:00Z,Dissolved Oxygen,5,114.7
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-13T06:51:00Z,Dissolved Oxygen,5,113.7
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-13T08:33:00Z,Dissolved Oxygen,5,112.1
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-13T10:15:00Z,Dissolved Oxygen,5,113.8
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-13T11:57:00Z,Dissolved Oxygen,5,114
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-13T13:39:00Z,Dissolved Oxygen,5,114.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-13T15:21:00Z,Dissolved Oxygen,5,115.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-13T17:04:00Z,Dissolved Oxygen,5,115.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-13T18:46:00Z,Dissolved Oxygen,5,115.3
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-13T20:28:00Z,Dissolved Oxygen,5,115.3
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-13T22:10:00Z,Dissolved Oxygen,5,115.5
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-13T23:53:00Z,Dissolved Oxygen,5,115
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-14T01:35:00Z,Dissolved Oxygen,5,116.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-14T03:17:00Z,Dissolved Oxygen,5,116.1
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-14T04:59:00Z,Dissolved Oxygen,5,115.8
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-14T06:41:00Z,Dissolved Oxygen,5,115.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-14T08:23:00Z,Dissolved Oxygen,5,115.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-14T10:06:00Z,Dissolved Oxygen,5,115.3
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-14T11:48:00Z,Dissolved Oxygen,5,114.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-14T13:30:00Z,Dissolved Oxygen,5,114.3
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-14T15:12:00Z,Dissolved Oxygen,5,114.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-14T16:54:00Z,Dissolved Oxygen,5,114.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-14T18:36:00Z,Dissolved Oxygen,5,115.7
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-14T20:18:00Z,Dissolved Oxygen,5,115.8
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-14T22:00:00Z,Dissolved Oxygen,5,114.9
